obs,CV,CVN,DPC,GDPN,IPC,N,P,PP
1,0.014,0.6,0,4.9,0,2.36,60.83,1
2,0.07,1.1,0,6.56,0,6.27,50.63,1
3,18.66,6.6,1,6.56,0,282.76,31.71,0
4,3.42,10.4,1,8.23,1,32.9,38.76,0
5,0.42,6.7,1,9.3,1,6.32,15.22,1
6,0.05,2.2,0,10.3,0,2.33,96.58,1
7,2.21,11.3,0,13,0,19.6,48.01,0
8,0.77,3.9,0,13.2,0,19.7,51.14,1
9,2.2,13.3,0,20.7,0,16.52,35.1,0
10,0.5,8.9,0,21.5,0,5.58,70.74,1
11,1.56,14.1,0,22.4,1,11.09,48.07,0
12,0.21,22,0,24,0,0.96,46.13,1
13,10.48,21.6,0,25.2,1,50.17,63.83,0
14,7.77,27.6,0,34.7,0,28.16,69.68,0
15,3.83,40.6,1,36.1,1,9.42,48.24,0
16,3.27,21.3,0,37.7,0,15.33,70.42,0
17,0.44,33.8,0,39.6,0,1.3,65.95,0
18,0.57,38,0,42.5,0,1.49,73.58,1
19,2.36,47.8,1,49.6,1,4.94,57.25,0
20,8.08,50.7,1,50.1,1,15.93,53.98,0
21,12.02,45.9,1,53.8,0,26.14,69.01,0
22,9.01,54.2,0,55.9,0,16.63,69.68,0
23,9.96,38,1,63.9,1,26.21,71.19,1
24,28.58,54.7,1,68.4,0,52.24,81.88,0
25,1.24,35.2,0,69.6,0,3.52,139.53,0
26,1.54,24.1,0,75.2,0,6.4,137.29,1
27,3.49,76,1,77.7,0,4.59,101.73,1
28,25.14,101.8,1,81.9,0,24.7,91.56,1
29,0.1,60.5,1,82,0,0.17,100.27,1
30,0.7,29.5,0,82.4,0,2.35,157.56,1
31,24.29,83.9,0,83,0,28.95,152.52,1
32,100,100,0,100,1,100,100,1
