"","AreaName","Year","RentalRates","LandValue","CA1_3X1","CA1_3X2","CA1_3X3","CA04X12","CA04X7010","CA34X30","CA45X130","CA45X150","CA45X370","Inflation","Interest","GDPGrowth"
"1","Adair",2000,102,1189,211595,8223,25732,15580,5661,22216,21188,89325,15699,0.0338,6.03,4.173240844
"2","Adams",2000,109,1204,118903,4476,26565,18124,2861,22247,13052,46238,18178,0.0338,6.03,4.173240844
"3","Allamakee",2000,112,1228,331005,14674,22557,19501,9322,19967,15833,96565,19673,0.0338,6.03,4.173240844
"4","Appanoose",2000,90,816,281766,13696,20573,4839,7640,21620,7627,33012,4863,0.0338,6.03,4.173240844
"5","Audubon",2000,122,1839,174296,6804,25617,20493,4043,19772,19644,114949,20654,0.0338,6.03,4.173240844
"6","Benton",2000,129,2151,683765,25326,26999,34584,11035,22479,35158,144231,34816,0.0338,6.03,4.173240844
"7","Black Hawk",2000,136,2394,3166570,128019,24735,24105,86349,27129,24723,118471,24409,0.0338,6.03,4.173240844
"8","Boone",2000,121,2328,728711,26251,27759,12579,13558,25851,24716,110592,12803,0.0338,6.03,4.173240844
"9","Bremer",2000,120,2176,620570,23312,26620,26476,13937,23979,23896,100710,26611,0.0338,6.03,4.173240844
"10","Buchanan",2000,136,2142,506389,21064,24040,28779,9938,23182,31338,136250,28998,0.0338,6.03,4.173240844
"11","Buena Vista",2000,132,2319,508946,20361,24996,43900,13421,22314,26557,180695,44140,0.0338,6.03,4.173240844
"12","Butler",2000,135,2106,368951,15299,24116,31334,6956,20559,27287,129195,31606,0.0338,6.03,4.173240844
"13","Calhoun",2000,126,2354,259738,11088,23425,20246,6088,19179,28037,137718,20407,0.0338,6.03,4.173240844
"14","Carroll",2000,136,2066,574484,21382,26868,35602,15998,21548,27044,236363,35860,0.0338,6.03,4.173240844
"15","Cass",2000,122,1620,369442,14675,25175,22676,9549,21761,25189,109420,22809,0.0338,6.03,4.173240844
"16","Cedar",2000,135,2365,517597,18199,28441,29121,9191,21976,32643,123693,29312,0.0338,6.03,4.173240844
"17","Cerro Gordo",2000,121,2189,1249172,46389,26928,39780,33644,24769,30196,106338,39980,0.0338,6.03,4.173240844
"18","Cherokee",2000,119,2041,331522,13019,25464,24672,8567,22126,23155,137252,24803,0.0338,6.03,4.173240844
"19","Chickasaw",2000,111,1744,327764,13168,24891,24230,7790,23343,25324,126018,24472,0.0338,6.03,4.173240844
"20","Clarke",2000,79,956,192718,9194,20961,714,6774,22644,8565,55343,906,0.0338,6.03,4.173240844
"21","Clay",2000,119,2139,476080,17360,27424,38217,12652,23801,26343,132049,38421,0.0338,6.03,4.173240844
"22","Clayton",2000,134,1686,448513,18611,24099,29694,11844,21852,27642,176107,29971,0.0338,6.03,4.173240844
"23","Clinton",2000,158,1961,1233709,50120,24615,36141,29054,25393,38355,140329,36301,0.0338,6.03,4.173240844
"24","Crawford",2000,127,1828,391335,16944,23096,25466,10708,22784,30143,150820,25631,0.0338,6.03,4.173240844
"25","Dallas",2000,116,1971,1263562,41446,30487,20514,18303,26389,23086,103376,20737,0.0338,6.03,4.173240844
"26","Davis",2000,95,1063,168020,8544,19665,-586,4390,21497,10379,70792,-509,0.0338,6.03,4.173240844
"27","Decatur",2000,79,765,154362,8645,17856,4645,4599,17638,8423,54206,4704,0.0338,6.03,4.173240844
"28","Delaware",2000,134,2263,441834,18416,23992,37031,10537,22035,33850,195140,37269,0.0338,6.03,4.173240844
"29","Des Moines",2000,121,1773,1118348,42253,26468,7462,30271,27831,13474,60205,7508,0.0338,6.03,4.173240844
"30","Dickinson",2000,107,1975,516642,16460,31388,18191,12671,22660,15233,70462,18254,0.0338,6.03,4.173240844
