obs,F,N,P,PB,PF,YD
1946,12.8,24402,0,50.1,56,1606
1947,12.3,25268,0,71.3,64.3,1513
1948,13.1,26076,0,81,74.1,1567
1949,12.9,26718,0,76.2,74.5,1547
1950,13.8,27766,0,80.3,73.1,1646
1951,13.2,28635,0,91,83.4,1657
1952,13.3,29408,0,90.2,81.3,1678
1953,13.6,30425,0,84.2,78.2,1726
1954,13.5,31648,0,83.7,78.7,1714
1955,12.9,32576,0,77.1,77.1,1795
1956,12.9,33574,0,74.5,77,1839
1957,12.8,34564,0,82.8,78,1844
1958,13.3,36024,0,92.2,83.4,1831
1959,13.7,39505,0,88.8,84.9,1881
1960,13.2,40871,0,87.2,85,1883
1961,13.7,42105,0,88.3,86.9,1909
1962,13.6,42882,0,90.1,90.5,1969
1963,13.7,43847,0,88.7,90.3,2015
1964,13.5,44874,0,87.3,88.2,2126
1965,13.9,45640,0,93.9,90.8,2239
1966,13.9,46246,0,102.6,96.7,2335
1967,13.6,46864,1,100,100,2403
1968,14,47468,1,102.3,101.6,2486
1969,14.2,47873,1,111.4,107.2,2534
1970,14.8,47872,1,117.6,118,2610
