obs,E,PCON,POP,REG,TAX,UHM
1,62.335,270,1136,743,9,2.2
2,176.52,122,948,774,14,2.4
3,30.481,58,520,351,11,0.7
4,101.87,821,5750,3750,9.9,20.6
5,133.92,98,953,586,13,3.6
6,67.527,450,3126,2258,11,10.1
7,163.24,1819,17567,8235,8,36.4
8,190.83,1229,7427,4917,8,22.2
9,-13.924,1200,11879,6725,11,27.9
10,-140.98,1205,10772,7636,11.7,29.2
11,-29.764,650,5482,3884,11.1,17.6
12,-299.72,1198,11466,7242,7.5,30.3
13,-258.33,760,9116,6250,13,25.1
14,16.446,460,4745,3162,13,13.8
15,37.855,503,4133,3278,13,13
16,79.33,371,2906,2346,13,8.1
17,-240.63,571,4942,3412,7,13.9
18,-108.5,136,672,653,8,1.6
19,139.52,109,694,615,13,1.6
20,170.08,203,1589,1215,13.9,4.3
21,-157.58,349,2408,2061,8,8.4
22,78.568,118,600,415,11,1.4
23,120.31,487,4270,2893,13.5,9.8
24,-23.806,628,5485,3705,11,12.4
25,-9.5451,192,1961,1142,10.5,2.9
26,-119.64,642,6019,4583,12,17.1
27,97.385,320,3227,1975,13,7.1
28,-201.65,677,5648,3916,7.5,15.6
29,-215.37,1459,10466,8335,8,28.5
30,-68.513,434,3692,2615,10,6.9
31,-216.68,482,4656,3381,9,11.9
32,-70.842,457,3941,3039,11,13.7
33,-40.877,325,2569,1593,9,6.3
34,-18.235,300,2307,1481,9.5,7.4
35,772.87,1417,4383,2800,8,10.1
36,-265.51,451,3226,2780,6.58,11.4
37,1168.6,3572,15329,11388,5,59.9
38,-79.457,131,805,758,9,2.3
39,-207.25,105,977,873,7.5,2.2
40,-54.515,163,509,508,8,1.5
41,-212.07,323,3071,2502,9,9.2
42,7.7577,192,1367,1193,11,4.4
43,-137.25,291,2892,2216,10,8.9
44,13.608,169,1571,1038,11,5
45,92.25,133,876,710,12,2.4
46,50.895,562,4276,3237,12,14.8
47,-145.18,364,2668,2075,8,8.4
48,-417.81,2840,24697,17130,9,62.5
49,-27.336,155,444,319,8,1.2
50,8.7623,214,997,586,8.5,1.3
