Year,NGDP,RGDP
1959,507.2,2210.2
1960,526.6,2262.9
1961,544.8,2314.3
1962,585.2,2454.8
1963,617.4,2559.4
1964,663,2708.4
1965,719.1,2881.1
1966,787.7,3069.2
1967,833.6,3147.2
1968,910.6,3293.9
1969,982.2,3393.6
1970,1035.6,3397.6
1971,1125.4,3510
1972,1237.3,3702.3
1973,1382.6,3916.3
1974,1496.9,3891.2
1975,1630.6,3873.9
1976,1819,4082.9
1977,2026.9,4273.6
1978,2291.4,4503
1979,2557.5,4630.6
1980,2784.2,4615
1981,3115.9,4720.7
1982,3242.1,4620.3
1983,3514.5,4803.7
1984,3902.4,5140.1
1985,4180.7,5323.5
1986,4422.2,5487.7
1987,4692.3,5649.5
1988,5049.6,5865.2
1989,5438.7,6062
1990,5743.8,6136.3
1991,5916.7,6079.4
1992,6244.4,6244.4
1993,6558.1,6389.6
1994,6947,6610.7
1995,7269.6,6761.7
1996,7661.6,6994.8
1997,8110.9,7269.8
