obs,I,N,P,Y
1,13240,3,65044,107919
2,22554,5,101376,118866
3,16916,7,124989,98579
4,20967,2,55249,122015
5,19576,3,73775,152827
6,15039,5,48484,91259
7,21857,8,138809,123550
8,26435,2,50244,160931
9,24024,6,104300,98496
10,14987,2,37852,108052
11,30902,3,66921,144788
12,31573,4,166332,164571
13,19001,3,61951,105564
14,20058,5,100441,102568
15,16194,2,39462,103342
16,21384,5,139900,127030
17,18800,6,171740,166755
18,15289,6,149894,125343
19,16702,3,57386,121886
20,19093,6,185105,134594
21,26502,3,114520,152937
22,18760,3,52933,109622
23,33242,5,203500,149884
24,14988,4,39334,98388
25,18505,3,95120,140791
26,16839,3,49200,101260
27,28915,4,113566,139517
28,19033,9,194125,115236
29,19200,7,233844,136749
30,22833,7,83416,105067
31,14409,6,183953,136872
32,20307,3,60457,117146
33,20111,2,65065,163538
