Year,Y ,PC ,PB ,YD , 
1951,21.8,25,28.7,14.86, 
1952,22.1,22.1,24.3,15.39, 
1953,21.9,22.1,16.3,16.11, 
1954,22.8,16.8,16,16.19, 
1955,21.3,18.6,15.6,17.04, 
1956,24.4,16,14.9,17.87, 
1957,25.4,13.7,17.2,18.51, 
1958,28,14,21.9,18.84, 
1959,28.7,11,22.6,19.68, 
1960,28,12.2,20.4,20.14, 
1961,30,10.1,20.2,20.67, 
1962,30,10.2,21.3,21.56, 
1963,30.7,10,19.9,22.3, 
1964,31.1,9.2,18,23.89, 
1965,33.4,8.9,19.9,25.47, 
1966,35.5,9.7,22.2,27.2, 
1967,36.3,7.9,22.3,28.83, 
1968,36.4,8.2,23.4,31.02, 
1969,38.1,9.7,26.2,33.03, 
1970,40.1,9.1,27.1,35.51, 
1971,40.1,7.7,29,38.12, 
1972,41.5,9,33.5,40.82, 
1973,39.7,15.1,42.8,45.63, 
1974,39.6,9.7,35.6,49.42, 
1975,38.8,9.9,32.3,53.83, 
1976,41.9,12.9,33.7,58.57, 
1977,42.7,12,34.5,63.84, 
1978,44.8,12.4,48.5,71.24, 
1979,48.3,13.9,66.1,78.9, 
1980,48.4,11,62.4,86.97, 
1981,50.4,11.1,58.6,96.03, 
1982,51.5,10.3,56.7,101.33, 
1983,52.6,12.7,55.5,107.77, 
1984,54.5,15.9,57.3,119.14, 
1985,56.3,14.8,53.7,125.94, 
1986,58.1,12.5,52.6,132.13, 
1987,61.9,11,61.1,138.53, 
1988,63.8,9.2,66.6,148.84, 
1989,67.5,14.9,69.5,157.74, 
1990,70.4,9.3,74.6,166.89, 
1991,73.5,7.1,72.7,171.82, 
1992,76.8,8.6,71.3,180.32, 
1993,78.9,10,72.6,185.64, 
1994,80.5,7.6,66.7,192.59, 
?ﾀ???,,,,,
