,Adana,Adiyaman,Afyon,Agri,Amasya,Ankara,Antalya,Artvin,Aydin,Balikesir,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Isparta,Icel,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Maras,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Sanliurfa,Usak,Van,Yozgat,Zonguldak
Adana,0,0.023199197,0.013360794,0.007925192,0.012509371,0.015623949,0.013719955,0.007319058,0.008573052,0.008553894,0.009968405,0.012094368,0.010458655,0.011308324,0.011409441,0.009146637,0.006947128,0.013291207,0.013314322,0.009981402,0.014638117,0.006554568,0.015720195,0.011358658,0.009463208,0.011127522,0.037163763,0.010559635,0.009752529,0.008515834,0.040082383,0.01234796,0.110952683,0.008153073,0.008496931,0.007572438,0.011095268,0.022990196,0.006662955,0.020415294,0.009246057,0.021504874,0.011358658,0.019680553,0.008670142,0.041159866,0.01441758,0.008789593,0.010303816,0.026675035,0.03734505,0.010487308,0.00827647,0.009678553,0.010501694,0.010843818,0.008749412,0.017887232,0.007148212,0.015372962,0.009006747,0.012308256,0.022319928,0.011095268,0.008506372,0.016185487,0.010153495
Adiyaman,0.02440082,0,0.008917243,0.012426344,0.012660803,0.010637082,0.009067872,0.010512103,0.006584032,0.006573282,0.007603655,0.023072409,0.019449929,0.008493956,0.008044226,0.007138538,0.005755733,0.01025767,0.011503244,0.007340265,0.039279369,0.005595741,0.028453253,0.014693925,0.015221684,0.008224996,0.053681805,0.011325275,0.011859014,0.012108678,0.025163346,0.008476074,0.02018113,0.006654769,0.006541243,0.011015418,0.009057672,0.018426249,0.005670613,0.01410205,0.007326907,0.011738004,0.00802019,0.043525788,0.006638311,0.049099212,0.027203617,0.006704638,0.017391513,0.015544924,0.015050973,0.011076026,0.009428888,0.007582176,0.010693587,0.020753275,0.00895692,0.019449929,0.006000202,0.015425806,0.010336676,0.019263806,0.073874043,0.007894383,0.013835517,0.013157305,0.007855874
Afyon,0.011695115,0.007421152,0,0.005099924,0.011300676,0.0260751,0.022871333,0.00533543,0.019037786,0.020811493,0.031759719,0.006059042,0.005158815,0.015804954,0.039188893,0.024457302,0.012667865,0.017271393,0.01337585,0.029651773,0.006114325,0.00971203,0.006980522,0.007091323,0.005914652,0.046215867,0.00860244,0.007572091,0.006506117,0.004552514,0.008771336,0.039419416,0.011860709,0.014536444,0.020430795,0.005027232,0.013349204,0.012862381,0.009987035,0.01551227,0.019146573,0.030050676,0.066349511,0.007774131,0.021617099,0.008829118,0.006070019,0.018062805,0.005510938,0.015230229,0.014197671,0.007968253,0.006108752,0.021409906,0.009913167,0.005239484,0.009697975,0.009586982,0.011300676,0.010215397,0.006557046,0.006233768,0.00731583,0.057276074,0.004656915,0.014108001,0.013510687
Agri,0.010400591,0.015504584,0.007646096,0,0.013687971,0.009505175,0.007025853,0.025695577,0.006081701,0.006411596,0.007392914,0.02798599,0.042935771,0.00879,0.007025853,0.007095318,0.005955525,0.010231131,0.012163403,0.00658386,0.022679392,0.006148697,0.020053833,0.027227562,0.054901478,0.007788349,0.013219698,0.018434808,0.026232299,0.023149702,0.010509383,0.007285693,0.009707218,0.007150869,0.00614118,0.046730095,0.010179301,0.012388373,0.006221034,0.010631715,0.007764274,0.009010736,0.007344277,0.016772906,0.0062095,0.012373116,0.019395696,0.00601255,0.041008043,0.01126342,0.010699649,0.017057675,0.018536846,0.007992817,0.013324895,0.030353385,0.010932503,0.016336537,0.006536741,0.014928634,0.020801181,0.023751703,0.016126758,0.007050506,0.043305907,0.011974935,0.008235222
Amasya,0.011118762,0.010699186,0.011475012,0.009270684,0,0.020252031,0.00777678,0.009611133,0.007246733,0.008168886,0.010887492,0.010632316,0.008168886,0.016637365,0.008977154,0.00997754,0.007140275,0.027438235,0.073963939,0.008369843,0.00969328,0.007560758,0.012394686,0.018642965,0.012305031,0.01195902,0.011173534,0.020191936,0.015571356,0.005942954,0.009652032,0.008989012,0.010648955,0.010141106,0.007436811,0.009036763,0.026895978,0.019553685,0.007723817,0.022093125,0.012151219,0.012151219,0.010517283,0.014508918,0.007586045,0.012863294,0.00853787,0.007103009,0.00907291,0.018745681,0.015430119,0.023224172,0.012394686,0.013010865,0.05194414,0.007654311,0.025873317,0.030651722,0.008474075,0.059690196,0.01435587,0.013746833,0.009464092,0.009665742,0.007044185,0.034717767,0.014001404
Ankara,0.013784265,0.008922444,0.026281283,0.006390057,0.020102053,0,0.012415974,0.006761051,0.011201144,0.012743943,0.021579201,0.007463304,0.006151448,0.035362774,0.016005426,0.017681387,0.010343476,0.051559464,0.027681516,0.014159937,0.00740602,0.009903651,0.008898933,0.009817282,0.007710377,0.028988368,0.010036092,0.010755239,0.008737762,0.004944575,0.009918194,0.016043444,0.013984037,0.014910132,0.01166544,0.006277221,0.02756853,0.021107156,0.010187466,0.036313386,0.019749385,0.026179418,0.021717974,0.01021829,0.012039732,0.011390033,0.006767825,0.010858987,0.006654473,0.024383718,0.019521069,0.011565565,0.008040821,0.022145213,0.016120023,0.006145851,0.01556288,0.015281199,0.011545795,0.016928045,0.008829137,0.008257078,0.008338629,0.018354048,0.005455808,0.030982981,0.025202574
Antalya,0.016069551,0.010097758,0.030603445,0.006270496,0.010247782,0.016483105,0,0.006108181,0.026066306,0.017581979,0.018917319,0.007528807,0.006951015,0.012995376,0.073498437,0.016697969,0.01250601,0.013284162,0.011451864,0.040391033,0.008294921,0.009757137,0.008580679,0.008451281,0.007179191,0.021148135,0.011736661,0.008063677,0.007650861,0.006154296,0.011971708,0.068975456,0.018337033,0.012385096,0.020104954,0.006188274,0.011364777,0.01448596,0.009600438,0.015648882,0.014627748,0.027761019,0.024634091,0.009468648,0.020950489,0.012052163,0.008233985,0.028647953,0.006892244,0.016666932,0.016069551,0.008085491,0.006834458,0.015567377,0.009359926,0.007093995,0.009168517,0.01100222,0.010475244,0.010224412,0.007248835,0.007598991,0.009952064,0.030499351,0.006150075,0.013090233,0.011813978
Artvin,0.009932554,0.013563253,0.008271857,0.026571488,0.014674367,0.010399852,0.007077283,0,0.006485301,0.007024646,0.008174234,0.024914753,0.019383306,0.009847822,0.007311367,0.007823382,0.006497468,0.011404448,0.013760863,0.007038924,0.018519522,0.006720215,0.018585782,0.025526909,0.04383735,0.008432997,0.011833089,0.028003913,0.031106143,0.013492795,0.010028428,0.007332006,0.009317894,0.007888726,0.006583937,0.04947358,0.011673541,0.012237281,0.006803832,0.010755126,0.008614803,0.0090108,0.007930879,0.015813473,0.006659905,0.011806195,0.015837579,0.006409286,0.022934772,0.011171454,0.010634035,0.025034824,0.065342465,0.00888747,0.017912848,0.016413036,0.013945573,0.01591034,0.007170084,0.016057885,0.044399367,0.022536772,0.014020853,0.007600184,0.018291289,0.012165635,0.009177961
Aydin,0.009766772,0.007131421,0.024777635,0.005279496,0.009288315,0.014463893,0.025353859,0.005444274,0,0.029766988,0.016612814,0.006116218,0.005387108,0.01219822,0.032065174,0.019732415,0.019168632,0.011882462,0.010297199,0.069220059,0.006159412,0.013135132,0.00681385,0.006797917,0.005929115,0.018057407,0.007936058,0.007085075,0.006338465,0.004867035,0.008045874,0.029766988,0.010470261,0.012732449,0.067090211,0.005219466,0.010285056,0.010370663,0.012807236,0.011210447,0.015194647,0.016121493,0.021016211,0.007378788,0.055908509,0.008083158,0.006124809,0.088098257,0.005678208,0.011475957,0.011012282,0.007347706,0.006044163,0.014512026,0.00853398,0.005454489,0.008410538,0.008410538,0.013735004,0.008704319,0.006375532,0.006172489,0.007056414,0.03137312,0.004958344,0.010623298,0.011124652
Balikesir,0.009044331,0.006607899,0.025138746,0.005165715,0.009717498,0.015272974,0.015871914,0.005473074,0.027626881,0,0.032905188,0.005684464,0.005005984,0.019091217,0.020441101,0.053607127,0.039104716,0.012283272,0.010458238,0.028106514,0.005708516,0.019695076,0.006333862,0.006756825,0.005840315,0.027254802,0.007352113,0.007305664,0.006373761,0.004512083,0.007453661,0.020492851,0.009125903,0.020544863,0.046790035,0.005103831,0.012081606,0.009648005,0.018912795,0.01148181,0.028603096,0.014852617,0.036627494,0.006859895,0.059085227,0.007488137,0.005676491,0.020649684,0.005276842,0.010622935,0.010194806,0.007607778,0.00613233,0.026111859,0.009004089,0.005056013,0.009423372,0.008327856,0.021190252,0.008713322,0.006501748,0.006095389,0.006538511,0.036136947,0.004607101,0.01082176,0.016419221
