X1,X2,Y
2.526546,4.666281,-49.87974
2.001185,4.33662,-41.94034
1.833965,4.934143,-46.29089
2.859919,5.730383,-57.9764
3.833401,4.06276,-51.82958
2.802611,4.69525,-51.61264
3.456934,5.499036,-64.04059
1.65407,5.990088,-54.32447
2.121929,3.86412,-52.52056
3.202105,3.794495,-38.082
4.220943,4.712024,-77.1256
4.468008,4.307157,-50.11197
3.434254,6.091354,-75.8452
3.526988,3.553911,-40.81352
3.721711,6.647113,-69.14511
4.029181,6.210202,-89.93176
2.06215,2.960595,-36.33707
3.004078,3.243482,-39.3492
2.551073,5.177447,-55.9388
2.030446,3.348681,-27.93323
2.816101,6.641726,-79.01476
2.399108,5.097641,-51.50691
2.581658,5.889393,-63.00005
1.644631,3.280414,-34.27066
3.223383,4.720545,-61.11892
1.764363,7.572383,-79.69054
2.806058,5.398334,-60.75749
5.364953,3.231582,-49.1744
3.125447,3.426116,-36.29467
2.902306,3.237371,-44.54668
2.734417,3.308915,-38.4939
2.589335,5.69102,-58.92358
4.357387,6.801595,-67.39429
1.48755,4.902482,-48.39096
2.469267,5.002945,-49.18283
0.8211229,2.722876,-22.21416
3.170803,5.876694,-70.46977
3.076696,4.859777,-58.25415
3.700671,6.414461,-71.00858
3.185207,4.412986,-54.18369
3.132422,4.004024,-34.28447
3.477005,5.743586,-80.19521
3.747164,6.145718,-86.08564
3.561623,5.990331,-59.34391
1.003173,4.795147,-46.39906
0.9098624,4.449479,-37.5039
0.3403187,5.980103,-51.40322
1.439918,6.268059,-62.02632
3.429755,3.833716,-53.70349
5.674105,5.640811,-63.63916
2.304378,5.779466,-53.60414
3.040029,6.0454,-65.03947
2.422038,3.537106,-37.92277
2.782977,5.446901,-60.11213
3.64694,3.88344,-40.78526
3.434496,5.365803,-59.13137
2.814848,4.196057,-46.64179
1.589598,6.350143,-55.9645
3.173994,6.173732,-63.18979
4.959188,5.844092,-54.92271
3.646319,5.252768,-68.70236
2.780096,6.246946,-67.52816
3.386415,6.235463,-73.83666
2.793584,6.115675,-62.80103
3.881375,5.61739,-70.56505
2.064532,5.632076,-56.76817
3.964003,4.197562,-51.41374
3.12515,4.3121,-54.73549
2.751726,3.322193,-44.34558
3.804028,4.742276,-53.32377
1.474555,5.642866,-55.03525
1.02616,3.971378,-39.18122
1.583665,6.568324,-65.48145
3.027538,3.454653,-47.002
1.774148,5.204685,-49.68169
2.499697,4.29838,-32.85463
4.159026,6.756701,-80.60231
2.852698,3.607705,-47.45651
2.401739,5.305846,-56.74651
2.343355,5.101423,-52.66932
2.176079,3.751514,-28.22201
2.912844,5.000424,-59.82791
1.29714,6.210667,-58.90913
2.924951,5.766322,-58.84115
1.293667,4.065387,-37.9741
1.060659,4.922874,-41.57531
3.847123,3.090194,-47.35783
3.074613,4.423317,-49.57385
3.025739,5.249702,-60.26284
