Year,y_q,k_q,l_q,e_q,m_q,s_q,y_p,k_p,l_p,e_p,m_p,s_p,y_v,k_v,l_v,e_v,m_v,s_v,k_s,l_s,e_s,m_s,s_s
1949,28.8,23.5,89.5,25,31.5,17.2,21,18,7.5,14.1,25.4,13.7,74.609,10.539,22.932,1.225,36.063,3.85,0.141,0.307,0.016,0.483,0.052
1950,30.2,24.3,93.5,25.9,31,19.3,21.4,18.8,7.9,14.5,26.9,14.1,79.938,11.343,25.355,1.307,37.505,4.427,0.142,0.317,0.016,0.469,0.055
1951,31.6,25.4,94.9,28.2,32.2,21.4,23.6,21.9,8.4,14.5,30.9,14.8,92.358,13.838,27.27,1.429,44.659,5.162,0.15,0.295,0.015,0.484,0.056
1952,32.5,26.2,94.9,29.6,33.7,21.3,23.1,20.2,8.9,14.7,29,15.7,92.918,13.153,28.821,1.522,43.95,5.473,0.142,0.31,0.016,0.473,0.059
1953,33.6,26.8,96.5,29.5,34.2,21.6,22.6,20.1,9.5,16.1,27.4,16.6,94.057,13.367,31.167,1.646,42.013,5.864,0.142,0.331,0.018,0.447,0.062
1954,33.4,27.3,92.2,32.9,33.8,21.8,22.9,18.8,10,14.6,28.1,17.1,94.756,12.773,31.529,1.672,42.706,6.076,0.135,0.333,0.018,0.451,0.064
1955,36.1,28.1,95.7,38.6,37.1,23.7,22.7,23,10.1,14.2,26.2,17.6,101.485,16.024,33.171,1.905,43.601,6.784,0.158,0.327,0.019,0.43,0.067
1956,37.7,29,96.1,42,38.9,25,22.9,22.7,10.8,14.5,26.1,18.2,106.877,16.312,35.396,2.116,45.607,7.447,0.153,0.331,0.02,0.427,0.07
1957,37.9,29.8,94.1,42.1,38.7,26,23.5,21.7,11.5,15.1,27.1,18.7,110.279,16.049,36.866,2.216,47.23,7.919,0.146,0.334,0.02,0.428,0.072
1958,37.7,30.4,90.7,44,39.6,26.1,24.2,21.6,11.9,14.4,27.5,19.6,112.717,16.314,36.984,2.206,48.879,8.335,0.145,0.328,0.02,0.434,0.074
1959,40.3,30.8,94.8,45.9,41.4,27.4,24.3,25.5,12.4,15,26.8,19.9,120.988,19.467,40.303,2.401,49.917,8.901,0.161,0.333,0.02,0.413,0.074
1960,41.1,31.4,94.1,46.6,42.4,27.9,24.2,24.3,13,15.3,26.5,20.7,123.208,18.934,41.731,2.488,50.648,9.406,0.154,0.339,0.02,0.411,0.076
1961,41.8,32,93.2,47.6,43.5,28.1,24.4,24.6,13.3,15.4,26.4,21.1,125.844,19.533,42.424,2.545,51.673,9.669,0.155,0.337,0.02,0.411,0.077
1962,43.6,32.9,95.2,49.1,44,29.4,24.4,25.5,13.7,15.6,26.7,21.6,131.534,20.833,44.728,2.66,52.942,10.371,0.158,0.34,0.02,0.402,0.079
1963,45,33.8,95.2,51.6,44.5,31.1,24.4,26.8,14.2,15.6,26.5,22.2,135.957,22.513,46.314,2.8,53.046,11.284,0.166,0.341,0.021,0.39,0.083
1964,47.5,34.8,96.3,55.7,46.6,33.4,24.3,27.5,14.9,15.1,26.3,22.8,143.034,23.752,49.004,2.921,54.967,12.39,0.166,0.343,0.02,0.384,0.087
1965,49.3,36.2,100,57.7,46.5,35.1,24.7,28.8,15.1,15,27.2,23.5,150.693,25.927,51.486,3.004,56.843,13.432,0.172,0.342,0.02,0.377,0.089
1966,51.6,38.4,103.6,61,47.9,38.1,25.6,29.7,15.7,15,28.3,24.1,163.057,28.285,55.648,3.18,60.93,15.014,0.173,0.341,0.02,0.374,0.092
1967,54.1,40.6,103.2,64.4,51.3,42.8,25.7,27.9,16.8,15.1,27.7,24.8,171.888,28.16,59.177,3.391,63.849,17.312,0.164,0.344,0.02,0.371,0.101
1968,56.4,42.3,104.8,68.9,51.4,42.6,26.2,29.6,18,14.9,28.4,25.6,182.461,31.062,64.358,3.585,65.689,17.767,0.17,0.353,0.02,0.36,0.097
1969,58.2,44.4,105.5,69.7,52.1,45.3,27,28.1,19.3,15.3,30.2,26.4,194.684,30.987,69.671,3.722,70.824,19.479,0.159,0.358,0.019,0.364,0.1
1970,58,46.1,102.4,71,52.3,44.2,27.8,27.2,20.7,16.3,30.8,27.6,199.769,31.085,72.305,4.031,72.409,19.939,0.156,0.362,0.02,0.362,0.1
1971,59.8,47.7,100.7,74.5,53.4,43.7,28.5,28.6,21.8,17.6,32,29,211.025,33.861,75.18,4.553,76.772,20.658,0.16,0.356,0.022,0.364,0.098
1972,64.3,49.4,103.4,74.7,56,46.5,29.4,29.5,23,19.2,35.2,30.5,233.966,36.101,81.249,4.998,88.482,23.137,0.154,0.347,0.021,0.378,0.099
1973,65.5,51.4,105,76,56.5,48.9,33,29.9,24.9,21.5,42.8,31.9,267.352,38.12,89.428,5.694,108.669,25.44,0.143,0.334,0.021,0.406,0.095
1974,65.3,53.6,101.8,80,63.7,53.1,41,33.5,28.3,28.8,52.6,34.2,330.929,44.541,98.241,8.032,150.565,29.549,0.135,0.297,0.024,0.455,0.089
1975,63.1,56.5,94.8,76.5,63.7,53.6,45.7,40,30.7,37.9,55.6,36.7,356.816,56.019,99.26,10.092,159.317,32.128,0.157,0.278,0.028,0.446,0.09
1976,67.9,59.3,99.5,79.3,67.1,54.7,47.2,42.5,33.2,44.6,57.4,39.8,396.457,62.502,112.888,12.293,173.26,35.513,0.158,0.285,0.031,0.437,0.09
1977,71.9,62,101.8,78.9,72.1,58.8,50,45.6,36.1,52.1,59.7,43.1,445.273,70.221,125.687,14.303,193.772,41.29,0.158,0.282,0.032,0.435,0.093
