Year,r,YD,M,Y,CO,I,G
1963,3.55,na,na,na,1341.9,na,na
1964,3.97,1562.2,160.3,2340.6,1417.2,371.8,549.1
1965,4.38,1653.5,167.9,2470.5,1497,413,566.9
1966,5.55,1734.3,172,2616.2,1573.8,438,622.4
1967,5.1,1811.4,183.3,2685.2,1622.4,418.6,667.9
1968,5.9,1886.8,197.4,2796.9,1707.5,440.1,686.8
1969,7.83,1947.4,203.9,2873,1771.2,461.3,682
1970,7.71,2025.3,214.4,2873.9,1813.5,429.7,665.8
1971,5.11,2099.9,228.3,2955.9,1873.7,475.7,652.4
1972,4.73,2186.2,249.2,3107.1,1978.4,532.2,653
1973,8.15,2334.1,262.8,3268.6,2066.7,591.7,644.2
1974,9.84,2317,274.3,3248.1,2053.8,543,655.4
1975,6.32,2355.4,287.5,3221.7,2097.5,437.6,663.5
1976,5.34,2440.9,306.3,3380.8,2207.3,520.6,659.2
1977,5.61,2512.6,331.1,3533.3,2296.6,600.4,664.1
1978,7.99,2638.4,358.2,3703.5,2391.8,664.6,677
1979,10.91,2710.1,382.5,3796.8,2448.4,669.7,689.3
1980,12.29,2733.6,408.5,3776.3,2447.1,594.4,704.2
1981,14.76,2795.8,436.3,3834.1,2476.9,631.1,713.2
1982,11.89,2820.4,474.3,3760.3,2503.7,540.5,723.6
1983,8.89,2893.6,521,3906.6,2619.4,599.5,743.8
1984,10.16,3080.1,552.1,4148.5,2746.1,757.5,766.9
1985,8.01,3162.1,619.9,4279.8,2865.8,745.9,813.4
1986,6.39,3261.9,724.5,4404.5,2969.1,735.1,855.4
1987,6.85,3289.5,750.1,4539.9,3052.2,749.3,881.5
1988,7.68,3404.3,787.4,4718.6,3162.4,773.4,886.8
1989,8.8,3464.9,794.7,4838,3223.3,784,904.4
1990,7.95,3524.5,826.4,4897.3,3272.6,746.8,932.6
1991,5.85,3538.5,897.7,4867.6,3259.4,683.8,944
1992,3.8,3648.1,1024.8,4979.3,3349.5,725.3,936.9
1993,3.3,3704.1,1128.4,5134.5,3458.7,819.9,929.8
1994,4.93,3835.4,1147.6,5342.3,3578.5,955.5,922.5
